Index,First Name,Last Name,Sex,Date of birth,Job Title
61,Shari,Daugherty,Male,1944-11-24,Curator
62,Kelli,Garner,Male,2010-01-17,Retail banker
63,Jackie,Bennett,Male,1915-11-11,Neurosurgeon
64,Leslie,Conway,Female,1983-11-06,Chiropractor
65,Harold,Barnett,Female,1943-03-15,"Biochemist, clinical"
66,Larry,Harper,Male,2021-05-05,"Scientist, water quality"
67,Mike,Ward,Female,1967-11-09,Hydrologist
68,Brittney,Rubio,Female,1959-12-24,"Biochemist, clinical"
69,Frank,Pineda,Male,1926-03-10,Hospital pharmacist
70,Sandra,Wu,Male,1925-04-28,Warehouse manager
71,Ryan,Benton,Male,2020-10-06,Physiological scientist
72,Tamara,Hull,Male,1933-01-31,English as a second language teacher
73,Jean,Ritter,Female,1985-08-06,Financial trader
74,Veronica,Briggs,Female,1974-06-08,Structural engineer
75,Kim,Andrews,Female,1990-11-15,"Biochemist, clinical"
76,Tina,Cunningham,Male,1956-11-29,Race relations officer
77,Jonathon,Atkinson,Male,2011-07-19,"Psychologist, forensic"
78,Jermaine,Reid,Female,1974-08-18,Newspaper journalist
79,Regina,Stevens,Male,2011-11-28,Public house manager
80,Terrence,Huff,Male,1944-02-27,Careers information officer
81,Tyler,Foley,Female,1908-09-19,Economist
82,Andrew,Waters,Male,1948-05-14,Jewellery designer
83,Reginald,Stephenson,Male,2010-02-08,Contracting civil engineer
84,Douglas,Reese,Female,1961-11-11,Higher education lecturer
85,Helen,Williamson,Female,1911-08-11,"Lecturer, further education"
86,Mario,Vaughn,Male,1990-07-08,Research scientist (life sciences)
87,Chelsea,Dickson,Male,1958-05-13,"Teacher, early years/pre"
88,Dustin,Bailey,Male,1908-08-22,Travel agency manager
89,Harry,Medina,Female,1947-08-24,Technical sales engineer
90,Kathy,Haney,Female,1955-09-02,Charity fundraiser
91,Alison,Nixon,Female,1941-07-10,Patent attorney
92,Jamie,Hardy,Female,1994-07-17,"Conservator, furniture"
93,Melody,Cox,Female,1974-07-30,Dance movement psychotherapist
94,Xavier,Cole,Male,1938-11-29,Financial planner
95,Dillon,Guzman,Female,1942-04-01,Air broker
96,Dennis,Barnes,Female,1954-07-30,Software engineer
97,Steve,Patterson,Female,1932-04-29,Barrister
98,Wesley,Bray,Male,1994-12-28,Police officer
99,Summer,Oconnell,Female,2012-04-12,Broadcast journalist
100,Mariah,Bernard,Male,2016-11-15,IT sales professional
